StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);ResponseTimeregister-noauth(P);ResponseTimeregister-noauth(C);ResponseTimeregister-noauthStDev(P);ResponseTimeregister-noauthStDev(C);ResponseTimeregister(P);ResponseTimeregister(C);ResponseTimeregisterStDev(P);ResponseTimeregisterStDev(C);ResponseTimederegister(P);ResponseTimederegister(C);ResponseTimederegisterStDev(P);ResponseTimederegisterStDev(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);ResponseTimeRepartitionregister-noauth;ResponseTimeRepartitionregister-noauth_<10;ResponseTimeRepartitionregister-noauth_<20;ResponseTimeRepartitionregister-noauth_<30;ResponseTimeRepartitionregister-noauth_<40;ResponseTimeRepartitionregister-noauth_<50;ResponseTimeRepartitionregister-noauth_<75;ResponseTimeRepartitionregister-noauth_<100;ResponseTimeRepartitionregister-noauth_<150;ResponseTimeRepartitionregister-noauth_<200;ResponseTimeRepartitionregister-noauth_<300;ResponseTimeRepartitionregister-noauth_>=300;ResponseTimeRepartitionregister;ResponseTimeRepartitionregister_<10;ResponseTimeRepartitionregister_<20;ResponseTimeRepartitionregister_<30;ResponseTimeRepartitionregister_<40;ResponseTimeRepartitionregister_<50;ResponseTimeRepartitionregister_<75;ResponseTimeRepartitionregister_<100;ResponseTimeRepartitionregister_<150;ResponseTimeRepartitionregister_<200;ResponseTimeRepartitionregister_<300;ResponseTimeRepartitionregister_>=300;ResponseTimeRepartitionderegister;ResponseTimeRepartitionderegister_<10;ResponseTimeRepartitionderegister_<20;ResponseTimeRepartitionderegister_<30;ResponseTimeRepartitionderegister_<40;ResponseTimeRepartitionderegister_<50;ResponseTimeRepartitionderegister_<75;ResponseTimeRepartitionderegister_<100;ResponseTimeRepartitionderegister_<150;ResponseTimeRepartitionderegister_<200;ResponseTimeRepartitionderegister_<300;ResponseTimeRepartitionderegister_>=300;CallLengthRepartition;CallLengthRepartition_<10;CallLengthRepartition_<20;CallLengthRepartition_<30;CallLengthRepartition_<40;CallLengthRepartition_<50;CallLengthRepartition_<75;CallLengthRepartition_<100;CallLengthRepartition_<150;CallLengthRepartition_<200;CallLengthRepartition_<300;CallLengthRepartition_>=300;
2016-05-04	14:57:00.931399	1462366620.931399;2016-05-04	14:57:00.931399	1462366620.931399;2016-05-04	14:57:00.934110	1462366620.934110;00:00:00;00:00:00;5000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;
2016-05-04	14:57:00.931399	1462366620.931399;2016-05-04	14:57:00.934430	1462366620.934430;2016-05-04	14:57:41.019850	1462366661.019850;00:00:40;00:00:40;5000;4989.4;4989.02;0;0;200000;200000;200000;0;200000;200000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:001000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:001000;00:00:00:001000;00:00:00:001000;00:00:00:001000;00:00:00:002000;00:00:00:002000;;200000;0;0;0;0;0;0;0;0;0;0;;199988;12;0;0;0;0;0;0;0;0;0;;199988;12;0;0;0;0;0;0;0;0;0;;198476;1524;0;0;0;0;0;0;0;0;0;
2016-05-04	14:57:00.931399	1462366620.931399;2016-05-04	14:57:41.019924	1462366661.019924;2016-05-04	14:57:41.020143	1462366661.020143;00:00:00;00:00:40;5000;0;4989.02;0;0;0;200000;200000;0;0;200000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:001000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:001000;00:00:00:000000;00:00:00:001000;00:00:00:000000;00:00:00:002000;;200000;0;0;0;0;0;0;0;0;0;0;;199988;12;0;0;0;0;0;0;0;0;0;;199988;12;0;0;0;0;0;0;0;0;0;;198476;1524;0;0;0;0;0;0;0;0;0;
